shoes,total_hands,initial_balance,strategy,card_counting,betting,wins[num],losses[num],ties[num],win_rate[num]%,winrate[balance]%,median,std,min_balance,max_balance,sharpe_like,brokes,broke_rate%,profit_count[num],profit_rate%,performance[sec]
26000,778696,50,random,dont,5,244699,484194,28151,32.322956129366325,7.8865384615384615,0.0,11.076680311777174,0,105,-4.157990433312532,21926,84.33076923076923,253,0.9730769230769231,20.802
26000,922786,50,stand19,dont,5,337546,517394,54231,37.12678912987766,30.827692307692306,0.0,21.372478527143095,0,130,-1.6182565724527156,13969,53.72692307692307,2015,7.75,22.551
26000,1023294,50,stand18,dont,5,414226,523703,77573,40.790269246146245,57.893461538461544,25.0,27.095568323378124,0,165,-0.7770004666262865,8036,30.907692307692308,5328,20.492307692307694,22.799
26000,1059003,50,stand17,dont,5,438671,517632,96787,41.65560398446477,69.63038461538461,35.0,28.68204990731294,0,150,-0.529418494890635,6136,23.599999999999998,7116,27.369230769230768,24.199
26000,1070471,50,stand16,dont,5,449954,524196,90493,42.263369035441926,71.44538461538461,35.0,29.098749212310313,0,150,-0.49065021964131833,6032,23.200000000000003,7432,28.584615384615386,22.371
26000,1077587,50,stand15,dont,5,455566,531301,84627,42.51689696815848,70.87115384615385,35.0,29.291801229489128,0,160,-0.49721841831497,6268,24.107692307692307,7452,28.66153846153846,25.398
26000,1084916,50,stand14,dont,5,458307,541837,78228,42.49989799438413,67.87307692307692,30.0,29.05931581881432,0,165,-0.552781821795726,6756,25.984615384615385,7003,26.934615384615384,24.033
26000,1190914,50,random,hilo,card_counting,384340,761582,44992,32.27269139501257,68.30715384615385,34.0,7.082670974814003,7,75,-2.237351294910211,0,0.0,281,1.0807692307692307,24.987
26000,1117488,50,stand19,hilo,card_counting,415983,634899,66606,37.224829259911516,80.81684615384616,40.0,7.191596790727768,11,93,-1.3337200627603987,0,0.0,1902,7.315384615384615,24.949
26000,1127282,50,stand18,hilo,card_counting,459911,581173,86198,40.79822085334459,89.06253846153847,44.0,7.691443138601741,16,102,-0.7110149123750722,0,0.0,4940,19.0,25.419
26000,1138097,50,stand17,hilo,card_counting,473413,559687,104997,41.596893762130996,92.06123076923078,46.0,7.851367529403172,18,120,-0.5055660177057523,0,0.0,6595,25.365384615384617,25.627
26000,1150104,50,stand16,hilo,card_counting,485206,566220,98678,42.18801082336901,92.71723076923078,46.0,8.033575716216175,13,112,-0.45327071580769435,0,0.0,7052,27.123076923076923,24.890
26000,1164033,50,stand15,hilo,card_counting,494105,578152,91776,42.447679747910925,92.46523076923077,46.0,8.082427443313774,15,119,-0.46612043743135617,0,0.0,6954,26.74615384615385,26.551
26000,1179014,50,stand14,hilo,card_counting,501300,591769,85945,42.51857908387856,92.0036923076923,46.0,8.096973490528425,16,110,-0.493783739174984,0,0.0,6712,25.815384615384616,26.083
26000,426164,50,random,dont,10,129491,256335,15103,32.29773850232834,2.4276923076923076,0.0,8.54032054987424,0,200,-5.712449967334334,25291,97.27307692307691,206,0.7923076923076924,15.614
